,timestamp,N_modes,N_F,N_M,repeat,error,iterations,time_s
count,16000,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0
unique,11476,,,,,,,
top,2025-04-19 16:36:13,,,,,,,
freq,8,,,,,,,
mean,,2.5,10.5,10.5,5.5,0.16465808756805067,721.4948125,26.2934194375
std,,1.1180689289498738,5.7664615020730805,5.7664615020730805,2.872371086268029,1.9404865748474367,469.5327178790763,22.656265493032283
min,,1.0,1.0,1.0,1.0,2.150981e-08,107.0,0.395
25%,,1.75,5.75,5.75,3.0,0.00236427925,437.0,10.72125
50%,,2.5,10.5,10.5,5.5,0.01162787,518.0,19.6635
75%,,3.25,15.25,15.25,8.0,0.0648731275,756.25,34.62225
max,,4.0,20.0,20.0,10.0,126.0901,2000.0,182.941
